CHG_jobs/astex_1s3v/rmsd118-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1s3v/rmsd132-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1s3v/rmsd133-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1s3v/rmsd134-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1s3v/rmsd141-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1s3v/rmsd142-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1s3v/rmsd184-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1s3v/rmsd185-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1s3v/rmsd248-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1sj0/rmsd105-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1sj0/rmsd109-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1sj0/rmsd116-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1sj0/rmsd119-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1sj0/rmsd123-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1sj0/rmsd124-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1sj0/rmsd213-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1sj0/rmsd238-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1sj0/rmsd60-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1sj0/rmsd97-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1t46/rmsd1-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1t46/rmsd110-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1t46/rmsd118-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.019 sec
CHG_jobs/astex_1t46/rmsd12-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1t46/rmsd157-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1t46/rmsd181-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1t46/rmsd211-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.016 sec
CHG_jobs/astex_1t46/rmsd225-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1t46/rmsd53-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1t46/rmsd8-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1tt1/rmsd127-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
